key,moment,heading,summary,startAvailability,endAvailability,price,link
offer-01, "2000/01/01 00:00", "Oferta de primavera", "Descuento del 20% en productos seleccionados", "2022/02/01 00:00", "2022/04/30 23:59", "EUR 50.00", "https://www.ejemplo.com/oferta-primavera"
offer-02, "2021/11/15 08:45", "Venta de liquidación", "Hasta un 50% de descuento en todo el sitio", "2021/11/15 00:00", "2100/12/31 23:59", "USD 100.00", "https://www.ejemplo.com/venta-liquidacion"
offer-03, "2021/02/14 18:30", "Regala amor en San Valentín", "Descuento del 15% en joyas seleccionadas", "2022/02/14 00:00", "2022/02/21 00:00", "GPB 75.50", "https://www.ejemplo.com/san-valentin"
offer-04, "2021/03/01 09:15", "Nueva colección de primavera", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-05, "2021/03/01 09:15", "T", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-06, "2021/03/01 09:15", "TE", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-07, "2021/03/01 09:15", "75stTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTes", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-08, "2021/03/01 09:15", "74stTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTe", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-09, "2021/03/01 09:15", "<h1>Hola!</h1>", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-10, "2021/03/01 09:15", "<script>alert("Hello There")</script>", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-11, "2022/07/01 09:15", "ØðƤƠƘƘǠǢƿ", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-12, "2022/07/01 09:15", "Привет с добрым утром", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-13, "2022/07/01 09:15", "Nueva colección de primavera", "T", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-14, "2022/07/01 09:15", "Nueva colección de primavera", "TE", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-15, "2022/07/01 09:15", "Nueva colección de primavera", "100tTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTest", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-16, "2022/07/01 09:15", "Nueva colección de primavera", "99stTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTestTest", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-17, "2022/07/01 09:15", "Nueva colección de primavera", "<h1>Hola!</h1>", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-18, "2022/07/01 09:15", "Nueva colección de primavera", "<script>alert("Hello There")</script>", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-19, "2022/07/01 09:15", "Nueva colección de primavera", "ØðƤƠƘƘǠǢƿ", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-20, "2022/07/01 09:15", "Nueva colección de primavera", "Привет с добрым утром", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-21, "2022/07/01 09:15", "Nueva colección de primavera", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "EUR 120.00", "https://www.ejemplo.com/colección-primavera"
offer-22, "2022/03/01 09:15", "Nueva colección de primavera", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "USD 120.00", "https://www.ejemplo.com/colección-primavera"
offer-23, "2021/03/01 09:15", "Nueva colección de primavera", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "GBP 120.00", "https://www.ejemplo.com/colección-primavera"
offer-24, "2021/03/01 09:15", "Nueva colección de primavera", "Descubre nuestra nueva colección de moda primavera-verano", "2022/02/14 00:00", "2022/02/21 00:05", "GBP 120.00", null
